City,Country,Date,Lattitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Port Elizabeth,ZA,1644118831,-33.918,25.5701,20,88,20.05,6.69
Tilichiki,RU,1644118832,60.4667,166.1,2,78,-20.2,3.94
Chui,UY,1644118834,-33.6971,-53.4616,17,93,16.68,3.51
Hualmay,PE,1644118836,-11.0964,-77.6139,100,83,20.94,3.62
Moerai,PF,1644118837,-22.4333,-151.3333,96,76,26.49,6.71
Hasaki,JP,1644118839,35.7333,140.8333,1,27,7.94,6.8
Shenjiamen,CN,1644118841,29.9576,122.298,90,57,6.21,4.39
Cabedelo,BR,1644118843,-6.9811,-34.8339,68,73,25.37,3.9
Norman Wells,CA,1644118845,65.282,-126.8329,20,69,-29.98,1.54
Cherskiy,RU,1644118846,68.75,161.3,24,99,-34.26,0.87
Kushima,JP,1644118851,31.4583,131.2333,67,44,9.02,5.89
Flin Flon,CA,1644118852,54.7682,-101.865,100,98,-19.6,1.83
Mapimí,MX,1644118854,25.8167,-103.85,48,49,10.43,0.11
Epe,NG,1644118855,6.5841,3.9834,8,94,22.37,0.68
Den Helder,NL,1644118857,52.9599,4.7593,100,93,8.99,13.86
Muntilan,ID,1644118858,-7.5811,110.2928,42,67,29.85,2.0
New Norfolk,AU,1644118860,-42.7826,147.0587,0,34,24.81,1.34
Bousso,TD,1644118862,10.4795,16.7117,25,19,17.89,2.85
Tasiilaq,GL,1644118864,65.6145,-37.6368,96,58,-9.91,3.02
Tiksi,RU,1644118866,71.6872,128.8694,99,98,-30.43,2.55
Souillac,MU,1644118868,-20.5167,57.5167,75,83,27.42,5.66
Quatre Cocos,MU,1644118869,-20.2078,57.7625,100,79,27.27,6.32
Puerto Ayora,EC,1644118870,-0.7393,-90.3518,33,92,24.19,1.79
Ust-Nera,RU,1644118873,64.5667,143.2,48,77,-23.98,0.9
Bluff,NZ,1644118874,-46.6,168.3333,7,58,14.33,5.5
Saint-François,FR,1644118876,46.4154,3.9054,0,86,3.01,3.09
Verkhnyaya Inta,RU,1644118877,65.9811,60.3094,73,92,-22.96,1.24
Hobyo,SO,1644118879,5.3505,48.5268,15,70,24.39,5.93
Lebu,CL,1644118880,-37.6167,-73.65,0,85,14.29,7.03
Hambantota,LK,1644118882,6.1241,81.1185,20,74,27.19,4.63
Avera,US,1644118690,33.194,-82.5271,0,44,4.84,5.32
Piura,PE,1644118885,-5.2,-80.6333,48,70,22.73,4.71
Yangi Marg`ilon,UZ,1644118886,40.4272,71.7189,100,32,3.68,4.12
Yellowknife,CA,1644118888,62.456,-114.3525,0,86,-26.99,4.12
Herat Province,AF,1644118889,34.5,62.0,2,72,5.85,1.19
Khunzakh,RU,1644118891,42.5394,46.705,0,67,-12.38,2.87
George Town,MY,1644118775,5.4112,100.3354,20,76,29.96,0.45
Mariehamn,AX,1644118894,60.0973,19.9348,100,93,1.92,9.77
Ribeira Grande,PT,1644118895,38.5167,-28.7,3,75,15.32,5.71
Puerto Ayacucho,VE,1644118644,5.6639,-67.6236,85,77,25.19,1.57
Peniche,PT,1644118898,39.3558,-9.3811,0,74,11.16,5.52
Margate,GB,1644118621,51.3813,1.3862,100,78,10.17,4.02
San Rafael,AR,1644118901,-34.6177,-68.3301,4,62,15.52,2.52
Lar,IN,1644118902,26.2039,83.9717,0,68,14.97,2.07
Severo-Kuril'sk,RU,1644118905,50.6789,156.125,81,77,-1.27,7.07
Deputatsky,RU,1644118887,69.3,139.9,97,97,-33.72,1.45
Solnechnyy,RU,1644118908,50.7214,136.6319,100,87,-12.71,1.35
Madimba,TZ,1644118909,-10.4,40.3333,100,86,24.14,4.31
Tajumulco,GT,1644118911,15.0833,-91.8833,78,84,9.38,3.14
Ayagoz,KZ,1644118914,47.9714,80.4392,1,77,-14.29,4.38
Ahipara,NZ,1644118916,-35.1667,173.1667,100,91,23.06,1.53
Port Lincoln,AU,1644118646,-34.7333,135.8667,6,45,26.1,8.58
Anzio,IT,1644118918,41.4853,12.6179,100,74,11.84,1.48
Airai,TL,1644118921,-8.9266,125.4092,64,68,22.86,1.43
Rosarito,MX,1644118922,32.3333,-117.0333,2,34,15.79,2.59
Vikhorevka,RU,1644118923,56.1201,101.1636,100,89,-7.23,4.41
Khatanga,RU,1644118925,71.9667,102.5,99,98,-29.59,2.98
Suntar,RU,1644118926,62.1444,117.6319,97,92,-13.81,2.36
Jiutepec,MX,1644118929,18.8667,-99.1833,53,43,21.75,1.51
Alofi,NU,1644118930,-19.0595,-169.9187,100,100,21.94,2.06
Emerald,AU,1644118748,-23.5333,148.1667,40,30,31.08,5.66
Sambava,MG,1644118932,-14.2667,50.1667,73,82,24.5,1.68
Ţahţā,EG,1644118934,26.7693,31.5021,0,65,6.06,3.65
Malpe,IN,1644118935,13.35,74.7167,84,59,24.61,1.06
Saint-Philippe,RE,1644118937,-21.3585,55.7679,99,84,26.77,8.93
Valparaíso,CL,1644118938,-33.0393,-71.6273,0,79,19.71,3.6
Cabo San Lucas,MX,1644118939,22.8909,-109.9124,10,54,19.17,1.34
Praia,CV,1644118941,14.9215,-23.5087,0,78,21.3,6.69
Sayyan,YE,1644118942,15.1718,44.3244,79,61,11.23,2.07
Hithadhoo,MV,1644118645,-0.6,73.0833,6,73,27.77,4.13
Constantine,DZ,1644118945,36.365,6.6147,0,93,4.67,0.51
Egvekinot,RU,1644118946,66.3167,-179.1667,6,87,-23.92,4.63
Morant Bay,JM,1644118948,17.8815,-76.4093,19,65,24.79,3.5
Atherton,GB,1644118917,53.5237,-2.4935,100,89,9.75,2.24
Lagoa,PT,1644118950,39.05,-27.9833,3,76,14.79,7.07
Bereda,ES,1644118952,43.2686,-7.5406,67,97,2.45,0.28
Te Anau,NZ,1644118953,-45.4167,167.7167,0,39,18.78,2.53
Samarai,PG,1644118955,-10.6167,150.6667,100,72,29.33,4.84
Prince Rupert,CA,1644118806,54.3161,-130.3201,100,53,8.83,11.32
Vanimo,PG,1644118957,-2.6741,141.3028,100,71,29.33,3.79
Araouane,ML,1644118959,18.9048,-3.5265,0,13,15.97,3.72
Itarema,BR,1644118960,-2.9248,-39.9167,7,89,25.14,3.88
Jamestown,US,1644118763,42.097,-79.2353,0,51,-10.16,2.57
Meulaboh,ID,1644118963,4.1363,96.1285,93,65,28.66,2.23
Beringovskiy,RU,1644118964,63.05,179.3167,71,94,-24.17,5.66
Kidal,ML,1644118965,18.4411,1.4078,0,17,14.67,4.44
Olinda,BR,1644118967,-8.0089,-34.8553,40,65,27.85,3.09
Kingaroy,AU,1644118968,-26.5333,151.8333,75,56,23.02,5.66
Fort Nelson,CA,1644118970,58.8053,-122.7002,100,97,-7.97,1.03
Soanierana Ivongo,MG,1644118971,-16.9167,49.5833,100,75,28.01,3.51
Jining,CN,1644118973,35.405,116.5814,100,22,4.53,1.7
Nome,US,1644118974,64.5011,-165.4064,0,65,-18.96,2.57
Westport,US,1644118976,41.1415,-73.3579,0,54,-5.67,3.13
Tual,ID,1644118978,-5.6667,132.75,87,73,28.63,3.81
Pasni,PK,1644118979,25.2631,63.471,3,67,22.21,3.34
Darlawn,IN,1644118981,24.0167,92.9,0,40,12.78,0.58
Zhangye,CN,1644118982,38.9342,100.4517,100,84,-7.2,2.5
Mar del Plata,AR,1644118751,-38.0023,-57.5575,100,75,16.6,2.24
Sibolga,ID,1644118985,1.7427,98.7792,100,77,27.36,1.79
Belyy Yar,RU,1644118986,53.6039,91.3903,69,77,-24.06,0.0
Dukat,RU,1644118989,62.55,155.55,38,69,-23.34,0.9
Soe,ID,1644118991,-9.8607,124.284,59,67,26.65,0.44
Djibo,BF,1644118993,14.1022,-1.6306,0,15,17.41,4.45
Akdepe,TM,1644118995,42.0551,59.3788,100,80,2.05,8.23
Palmer,US,1644118723,42.1584,-72.3287,7,95,-8.25,0.81
Ancud,CL,1644118997,-41.8697,-73.8203,85,88,13.01,1.29
Bethel,US,1644118838,41.3712,-73.414,0,64,-6.64,3.09
San Cristobal,VE,1644119000,7.7669,-72.225,31,92,21.1,0.95
Savannah Bight,HN,1644119002,16.45,-85.85,37,70,25.76,3.24
Atuona,PF,1644119004,-9.8,-139.0333,42,80,25.68,9.78
Iqaluit,CA,1644119005,63.7506,-68.5145,40,68,-36.15,1.54
Baza,ES,1644119007,37.4907,-2.7726,100,85,8.19,1.79
Caravelas,BR,1644119009,-17.7125,-39.2481,13,92,23.64,1.84
Charters Towers,AU,1644118956,-20.1,146.2667,0,34,30.68,4.09
Assiut,EG,1644119011,27.181,31.1837,0,68,6.1,2.66
Buala,SB,1644119013,-8.145,159.5921,90,71,30.15,4.01
Makat,KZ,1644119014,47.6469,53.3463,99,83,-4.26,7.1
Dunedin,NZ,1644119017,-45.8742,170.5036,76,61,14.33,3.58
Castro,BR,1644119018,-24.7911,-50.0119,99,98,17.4,1.72
Beni,CD,1644119020,0.5,29.4667,100,71,17.79,0.55
Bonthe,SL,1644119021,7.5264,-12.505,32,87,23.72,0.43
Andahuaylas,PE,1644119023,-13.6556,-73.3872,100,97,11.24,1.4
Antofagasta,CL,1644118563,-23.65,-70.4,25,76,17.6,1.45
Faanui,PF,1644119007,-16.4833,-151.75,20,76,26.84,8.08
Albox,ES,1644119027,37.3886,-2.1495,91,84,11.25,1.06
Hamilton,US,1644118439,39.1834,-84.5333,0,88,-7.23,0.45
Margherita,IN,1644119030,27.2833,95.6833,39,74,14.71,1.34
Port Alfred,ZA,1644119032,-33.5906,26.891,42,88,21.24,10.64
Isangel,VU,1644119034,-19.55,169.2667,75,84,31.06,6.17
Conakry,GN,1644119035,9.538,-13.6773,38,72,24.92,2.0
City of San Pedro,PH,1644119037,14.35,121.0167,75,61,30.2,4.12
Aklavik,CA,1644119038,68.2191,-135.0107,80,85,-34.54,1.51
East London,ZA,1644119040,-33.0153,27.9116,0,94,19.52,2.57
Thompson,CA,1644119041,55.7435,-97.8558,40,68,-32.91,0.0
Matadi,CD,1644119043,-5.8167,13.45,99,97,22.9,0.43
Longyearbyen,SJ,1644119016,78.2186,15.6401,20,72,-12.09,9.26
Clyde River,CA,1644118891,70.4692,-68.5914,100,68,-34.87,2.57
Halifax,CA,1644118437,44.6453,-63.5724,41,82,-9.0,2.68
Hofn,IS,1644119049,64.2539,-15.2082,100,69,-0.3,8.85
Nanortalik,GL,1644119050,60.1432,-45.2371,100,59,-12.33,6.02
Listvyagi,RU,1644119053,53.6772,86.951,96,93,-11.58,0.82
Ous,RU,1644119054,60.9058,61.5186,93,98,-15.53,2.31
Upernavik,GL,1644119056,72.7868,-56.1549,100,98,-18.66,1.64
Bukachacha,RU,1644119057,52.9833,116.9167,6,67,-12.41,1.04
Berea,US,1644119059,41.3662,-81.8543,0,79,-7.41,3.09
Praia da Vitória,PT,1644118969,38.7333,-27.0667,75,94,14.14,6.72
Lorengau,PG,1644119061,-2.0226,147.2712,100,72,28.77,4.16
Pevek,RU,1644119063,69.7008,170.3133,28,99,-32.77,1.11
Sinnamary,GF,1644119064,5.3833,-52.95,100,89,24.83,3.83
Kaitangata,NZ,1644119066,-46.2817,169.8464,34,58,13.29,3.37
Qaanaaq,GL,1644119067,77.484,-69.3632,100,97,-18.86,1.17
Mawlaik,MM,1644119069,23.6333,94.4167,3,39,22.22,1.3
Usinsk,RU,1644119070,65.9939,57.5281,98,98,-24.41,2.83
Caucayá,CO,1644119072,-0.1934,-74.7819,53,97,21.93,0.84
Esperance,AU,1644118979,-33.8667,121.9,11,33,35.91,4.31
São Filipe,CV,1644118817,14.8961,-24.4956,0,73,22.47,3.33
Benghazi,LY,1644119077,32.1167,20.0667,13,69,15.12,3.29
Khilok,RU,1644119079,51.3674,110.4676,97,88,-9.15,2.73
Yeppoon,AU,1644119081,-23.1333,150.7333,20,55,28.88,9.69
Biloela,AU,1644119082,-24.4167,150.5,5,30,30.97,7.71
Tuy Hoa,VN,1644119084,13.0833,109.3,100,92,22.94,5.67
Rizhao,CN,1644119086,35.4275,119.4553,98,22,3.81,1.76
Laramie,US,1644119087,41.3114,-105.5911,100,74,-2.27,8.23
Shiyan,CN,1644119089,32.6475,110.7781,99,45,3.67,4.51
Roura,GF,1644119090,4.7263,-52.3274,75,88,26.65,1.54
Leningradskiy,RU,1644119094,69.3833,178.4167,15,97,-30.08,1.42
Monrovia,LR,1644118944,6.3005,-10.7969,10,84,25.63,1.48
Örnsköldsvik,SE,1644119097,63.2909,18.7153,92,98,-0.44,5.83
Salalah,OM,1644118867,17.0151,54.0924,40,73,22.05,2.06
Popondetta,PG,1644119099,-8.7537,148.2534,100,63,31.04,2.0
Coos Bay,US,1644119100,43.3665,-124.2179,0,96,8.41,0.0
Kibre Mengist,ET,1644119102,5.8833,38.9833,74,50,11.68,1.2
Angoulême,FR,1644119104,45.65,0.15,100,91,4.18,1.54
Nabire,ID,1644119106,-3.3667,135.4833,100,64,30.01,3.2
Shache,CN,1644119108,38.4167,77.2406,92,53,-2.01,2.02
Hopelchén,MX,1644119109,19.7667,-89.85,78,83,20.76,2.14
Rawson,AR,1644119111,-43.3002,-65.1023,75,57,15.43,4.94
Koumac,NC,1644119112,-20.5667,164.2833,100,93,25.4,2.4
Chingirlau,KZ,1644119114,51.095,54.0814,99,97,-8.24,1.43
Touros,BR,1644119115,-5.1989,-35.4608,35,72,25.5,4.2
Mahébourg,MU,1644119117,-20.4081,57.7,75,83,27.36,5.66
Townsville,AU,1644119118,-19.25,146.8,40,58,29.49,5.66
Waipawa,NZ,1644119120,-41.4122,175.5153,100,89,12.47,5.82
Serov,RU,1644119122,59.6033,60.5787,100,95,-11.45,3.24
Ponta Delgada,PT,1644119124,37.7333,-25.6667,20,88,15.83,8.23
Inírida,CO,1644119125,3.8653,-67.9239,79,94,23.1,1.43
Lucea,JM,1644119129,18.451,-78.1736,5,65,23.92,4.52
Husavik,IS,1644119131,66.0449,-17.3389,100,87,-1.05,9.1
Uvinza,TZ,1644119132,-5.1036,30.3911,96,95,17.16,0.07
Henties Bay,NA,1644119134,-22.116,14.2845,96,78,19.36,2.04
Mwinilunga,ZM,1644119135,-11.7358,24.4293,100,98,15.16,1.74
Batemans Bay,AU,1644119138,-35.7167,150.1833,43,56,22.89,5.28
Yantal',RU,1644119140,56.8471,105.2542,100,90,-6.46,5.0
Chāmpa,IN,1644119141,22.05,82.65,5,26,19.16,1.33
Alexandria,EG,1644119144,31.2156,29.9553,40,87,11.98,2.06
Hvide Sande,DK,1644119146,56.0045,8.1294,93,81,5.16,9.74
Beidao,CN,1644119147,34.5686,105.8933,100,72,-1.91,1.61
Patti,IN,1644119149,31.2808,74.8572,36,73,8.04,0.84
Mossamedes,AO,1644118884,-15.1961,12.1522,92,68,21.98,3.6
Dinguiraye,GN,1644119151,11.3,-10.7167,9,17,20.02,0.69
Lincoln,US,1644119103,40.8,-96.667,0,53,4.05,1.34
Saint Paul Harbor,US,1644119154,57.79,-152.4072,100,87,3.73,5.66
Crişan,RO,1644119156,44.9667,29.4667,11,85,1.42,3.52
Lompoc,US,1644119026,34.6391,-120.4579,0,74,14.23,0.0
Borovoy,RU,1644119158,55.4333,86.0833,0,57,-8.4,2.0
Chipinge,ZW,1644119160,-20.1883,32.6236,82,96,16.03,1.72
Santarém,BR,1644119162,-2.4431,-54.7083,40,100,24.07,2.06
Porto-Novo,BJ,1644119163,6.4965,2.6036,3,91,26.9,1.24
Médéa,DZ,1644119165,36.2642,2.7539,36,77,1.25,0.85
Cumanayagua,CU,1644119166,22.1494,-80.2022,1,90,18.86,2.76
Cap Malheureux,MU,1644119168,-19.9842,57.6142,100,75,27.48,5.36
Lavrentiya,RU,1644119169,65.5833,-171.0,27,95,-27.13,4.92
Manisa Province,TR,1644119170,38.8333,28.1667,96,53,1.32,1.15
Cuiluan,CN,1644119172,47.72,128.648,99,77,-13.36,4.16
Flinders,AU,1644119084,-34.5833,150.8552,88,60,24.54,5.36
Roebourne,AU,1644119175,-20.7833,117.1333,78,53,33.59,6.42
Letlhakane,BW,1644119176,-21.4167,25.5833,10,75,18.55,6.28
Manaus,BR,1644119007,-3.1019,-60.025,40,83,27.27,1.54
Tete,MZ,1644119179,-16.1564,33.5867,11,97,20.8,0.8
Weligama,LK,1644119180,5.9667,80.4167,42,65,27.62,2.56
Saurimo,AO,1644119182,-9.6608,20.3916,96,95,16.03,1.36
Banda Aceh,ID,1644119183,5.5577,95.3222,94,63,28.89,1.91
Salinas,US,1644118901,36.6777,-121.6555,0,52,14.05,1.54
Concarneau,FR,1644119186,47.875,-3.9225,99,85,11.01,9.1
Santa Rosa,PH,1644118905,14.3122,121.1114,95,63,30.62,8.35
Hay River,CA,1644119120,60.8156,-115.7999,40,84,-24.02,2.06
Grindavik,IS,1644119191,63.8424,-22.4338,75,80,-0.03,8.75
Ovalle,CL,1644118752,-30.5983,-71.2003,0,55,21.97,1.13
Kâhta,TR,1644119193,37.7855,38.6237,3,61,-0.35,1.06
San Patricio,US,1644119195,28.017,-97.5169,0,64,7.13,2.61
Pitkyaranta,RU,1644119198,61.5734,31.4792,100,95,-6.04,5.33
Māngrol,IN,1644119199,21.1167,70.1167,1,66,19.79,2.4
Tabas,IR,1644119201,33.5959,56.9244,0,55,7.61,1.31
São João da Barra,BR,1644119202,-21.6403,-41.0511,1,86,24.58,8.94
Bull Savanna,JM,1644119204,17.8868,-77.5902,6,63,20.5,2.91
Ixtapa,MX,1644118944,20.7,-105.2,20,73,22.57,2.06
Karasjok,NO,1644119207,69.4719,25.5112,100,92,-2.94,7.05
Vardø,NO,1644119208,70.3705,31.1107,100,79,-2.79,12.65
Taltal,CL,1644119209,-25.4,-70.4833,15,79,19.47,1.02
Roald,NO,1644119211,62.5833,6.1333,96,87,2.78,12.86
Grand Gaube,MU,1644119212,-20.0064,57.6608,100,75,27.43,5.36
Trzebiatów,PL,1644119214,54.0615,15.2648,100,96,4.92,11.74
Jiexiu,CN,1644119215,37.0244,111.9125,100,35,-1.05,1.66
Paita,PE,1644119217,-5.0892,-81.1144,24,81,21.76,3.83
Lidköping,SE,1644119220,58.5052,13.1577,96,78,3.29,7.43
Guerrero Negro,MX,1644119221,27.9769,-114.0611,0,57,15.9,5.51
Tomatlán,MX,1644119223,19.9333,-105.25,92,88,19.31,0.52
Alberton,CA,1644119224,46.8168,-64.0654,70,82,-11.05,8.05
Ulaangom,MN,1644119226,49.9811,92.0667,96,98,-28.19,1.47
Pitanga,BR,1644119227,-24.7572,-51.7614,100,99,17.07,1.46
Saint-Leu,RE,1644119229,-21.15,55.2833,100,76,26.48,1.87
Hue,VN,1644119156,16.4667,107.6,75,83,20.06,2.57
Skibbereen,IE,1644119231,51.55,-9.2667,100,83,11.73,14.14
Izumo,JP,1644119233,35.3667,132.7667,75,65,3.94,8.75
Babylon,US,1644119064,40.6957,-73.3257,0,64,-5.54,2.68
Petukhovo,RU,1644119235,55.0692,67.9019,100,80,-11.78,3.55
Praia,CV,1644119237,14.9215,-23.5087,0,78,21.3,6.69
Altus,US,1644119238,34.6381,-99.334,0,74,2.73,4.12
Cayenne,GF,1644119239,4.9333,-52.3333,75,85,26.72,2.68
Aksarka,RU,1644119241,66.5606,67.7975,73,100,-29.95,1.61
Torit,SS,1644119242,4.4133,32.5678,100,27,22.91,0.68
Bennington,US,1644119244,42.8781,-73.1968,0,85,-12.1,2.06
Biak,ID,1644119245,-0.9131,122.8766,76,71,28.59,0.79
Methóni,GR,1644119247,36.8197,21.7049,39,83,11.23,2.1
Pangnirtung,CA,1644119248,66.1451,-65.7125,100,93,-36.64,2.76
Ballitoville,ZA,1644119250,-29.539,31.2144,75,88,21.2,2.06
Senneterre,CA,1644119251,48.3835,-77.2328,100,93,-21.88,2.27
Taree,AU,1644119253,-31.9,152.4667,75,88,24.76,4.63
Mayo,US,1644119255,38.8876,-76.5119,0,59,-2.03,1.79
Qorveh,IR,1644119257,35.1664,47.8045,43,90,-5.38,2.26
Hirado,JP,1644119259,33.3597,129.5531,58,52,5.64,6.61
Faya,SA,1644119260,18.3851,42.4509,0,74,9.29,1.54
Medina del Campo,ES,1644119263,41.3124,-4.9141,1,83,-0.72,1.7
Tucuruí,BR,1644119264,-3.7661,-49.6725,100,97,22.89,1.32
Mount Gambier,AU,1644119266,-37.8333,140.7667,40,20,29.95,6.17
Aksu,CN,1644119268,41.1231,80.2644,94,71,-3.91,3.1
Yabrūd,SY,1644119269,33.9674,36.6574,19,78,-5.19,1.11
Gisborne,NZ,1644119255,-38.6533,178.0042,100,94,18.3,1.59
Taraclia,MD,1644119272,45.9,28.6689,2,84,0.35,2.87
Chifeng,CN,1644119273,42.2683,118.9636,0,41,-4.98,5.99
Palpa,PE,1644119275,-14.5336,-75.1856,50,72,22.27,0.99
Boundiali,CI,1644119209,9.5217,-6.4869,7,19,19.74,0.98
Severodvinsk,RU,1644119278,64.5635,39.8302,57,89,-15.94,6.0
Carnarvon,AU,1644119279,-24.8667,113.6333,75,69,28.04,8.75
Outlook,CA,1644119120,51.5001,-107.0513,61,93,-10.17,3.43
Poum,NC,1644119282,-20.2333,164.0167,100,91,26.03,6.13
Lovozero,RU,1644119283,68.005,35.0117,100,93,-11.46,4.64
Ilulissat,GL,1644119285,69.2167,-51.1,100,51,-15.99,6.17
Mlonggo,ID,1644119286,-6.5333,110.7,96,85,30.94,4.69
Vestmannaeyjar,IS,1644119288,63.4427,-20.2734,85,76,-2.7,9.61
Turukhansk,RU,1644119289,65.8167,87.9833,99,99,-25.03,0.49
Katherine,AU,1644119106,-14.4667,132.2667,93,58,32.18,2.06
Fare,PF,1644119293,-16.7,-151.0167,37,74,27.45,8.52
Olafsvik,IS,1644119295,64.8945,-23.7142,98,69,-1.42,12.64
Kieta,PG,1644119296,-6.2167,155.6333,41,68,30.39,4.68
Port Hedland,AU,1644119298,-20.3167,118.5667,73,66,33.03,6.69
Pisco,PE,1644119299,-13.7,-76.2167,0,88,20.03,2.06
Gizo Government Station,SB,1644119300,-8.103,156.8419,100,69,30.17,4.87
Karibib,NA,1644119302,-21.9333,15.8333,99,76,20.59,2.42
Young,UY,1644119303,-32.6833,-57.6333,9,88,17.35,5.08
Yulara,AU,1644119305,-25.2406,130.9889,0,18,30.91,3.09
Birecik,TR,1644119307,37.0294,37.9903,0,58,0.56,2.0
Kapit,MY,1644119309,2.0167,112.9333,100,63,30.69,0.4
Kruisfontein,ZA,1644119310,-34.0033,24.7314,22,95,18.82,3.63
Mercedes,AR,1644119312,-34.6515,-59.4307,5,94,16.58,3.92
Dalbandin,PK,1644119076,28.8947,64.4101,0,52,15.47,2.04
Sisimiut,GL,1644119314,66.9395,-53.6735,100,94,-17.37,3.0
Honningsvåg,NO,1644119316,70.9821,25.9704,68,71,-0.14,15.52
Bathsheba,BB,1644119318,13.2167,-59.5167,40,73,25.34,5.14
Ostrovnoy,RU,1644119319,68.0531,39.5131,100,83,-9.96,12.66
Ola,RU,1644119321,59.5833,151.2833,26,73,-9.92,4.28
Gemeente Wageningen,NL,1644119322,51.9667,5.6667,75,98,8.81,8.75
Makkah al Mukarramah,SA,1644119324,21.4267,39.8261,0,40,15.84,1.81
Ramon,PH,1644119325,16.7842,121.535,96,82,23.59,1.79
